487997, 482049, 1352, 4596, 1131, 115, 56, 23, 23, 2023, 544, 1651, 110, 1409, 8
317651, 184843, 883, 131925, 117, 81, 47, 13, 15, 238, 40, 13, 10, 866, 8
352028, 210429, 314, 141285, 156, 73, 39, 11, 13, 214, 43, 11, 10, 894, 8
400622, 254968, 299, 145355, 160, 78, 39, 13, 14, 230, 59, 14, 11, 1069, 8
293247, 154308, 302, 138637, 124, 72, 38, 11, 13, 212, 45, 11, 10, 983, 8
278946, 149576, 255, 129115, 119, 71, 38, 11, 13, 205, 44, 11, 10, 876, 8
430694, 274598, 253, 155843, 145, 104, 39, 12, 13, 226, 106, 16, 14, 1071, 8
343648, 216037, 311, 127300, 2927, 436, 1685, 2206, 1665, 212, 508, 12, 10, 874, 8
357393, 219589, 233, 137571, 130, 77, 40, 13, 14, 221, 44, 12, 11, 984, 8
379444, 241572, 223, 137649, 135, 81, 39, 13, 14, 237, 37, 17, 19, 1132, 8
354142, 203864, 311, 149967, 134, 78, 39, 13, 14, 226, 37, 13, 11, 1006, 8
268922, 144143, 300, 124479, 123, 72, 38, 11, 13, 208, 44, 12, 10, 881, 8
310269, 174469, 245, 135555, 140, 70, 39, 12, 13, 212, 43, 11, 10, 918, 8
216313, 183026, 386, 32901, 150, 84, 40, 13, 15, 243, 44, 14, 13, 1135, 8
234383, 204274, 344, 29765, 155, 92, 49, 15, 15, 262, 41, 15, 12, 1143, 8
238496, 201069, 371, 37056, 148, 91, 45, 17, 21, 332, 41, 17, 18, 1177, 8
296622, 269255, 346, 27021, 145, 77, 39, 12, 14, 222, 45, 12, 11, 1090, 8
188827, 164514, 351, 23962, 126, 74, 38, 12, 13, 221, 44, 12, 10, 927, 8
180453, 156187, 272, 23994, 126, 76, 38, 12, 14, 214, 41, 12, 11, 904, 8
164679, 141281, 248, 23150, 120, 72, 38, 11, 13, 204, 44, 11, 11, 872, 8
177220, 154968, 355, 21897, 117, 73, 39, 12, 12, 212, 44, 11, 10, 877, 8
233610, 200418, 375, 32817, 161, 85, 42, 13, 16, 243, 37, 13, 11, 1228, 8
346214, 318007, 437, 27770, 3194, 2328, 2313, 2301, 2308, 279, 1868, 2182, 2209, 1091, 8
323485, 289235, 356, 33894, 133, 78, 39, 13, 13, 224, 44, 13, 12, 998, 8
272799, 261770, 403, 10626, 173, 83, 39, 17, 34, 253, 41, 13, 11, 1236, 8
283375, 252542, 386, 30447, 149, 82, 43, 13, 16, 234, 37, 13, 12, 1149, 8
330338, 320929, 411, 8998, 658, 2230, 2226, 2203, 2200, 2079, 1849, 2177, 2201, 993, 8
272782, 262958, 289, 9535, 1681, 2240, 2719, 2220, 1738, 2078, 1814, 2186, 2215, 1049, 8
377149, 224020, 244, 152885, 2180, 1904, 42, 12, 13, 2406, 44, 2175, 2201, 958, 8
311469, 274642, 381, 36446, 1771, 2312, 2235, 2209, 2209, 2058, 1765, 2170, 2210, 1189, 8
372761, 346793, 309, 25659, 1925, 2228, 2227, 2202, 2202, 2086, 1858, 2181, 2199, 1004, 8
231913, 205753, 293, 25867, 2187, 2227, 997, 14, 18, 246, 40, 12, 10, 1013, 8
430726, 401764, 413, 28549, 160, 91, 48, 15, 16, 266, 39, 15, 12, 1206, 8
453224, 425038, 336, 27850, 154, 82, 39, 13, 14, 233, 37, 13, 12, 1130, 8
527546, 489328, 284, 37934, 146, 89, 40, 13, 15, 261, 40, 15, 12, 1238, 8
271648, 245587, 369, 25692, 147, 88, 48, 15, 14, 252, 39, 14, 12, 1075, 8
328816, 302846, 321, 25649, 764, 76, 39, 12, 14, 2083, 590, 460, 13, 987, 8
357010, 321447, 553, 35010, 181, 100, 43, 16, 18, 312, 40, 16, 15, 1517, 8
308448, 280067, 310, 28071, 149, 92, 48, 14, 15, 266, 41, 14, 12, 1114, 8
271804, 242797, 406, 28601, 155, 84, 39, 14, 14, 231, 36, 13, 11, 1090, 8
437408, 408663, 313, 28432, 157, 84, 38, 14, 14, 236, 37, 13, 11, 1221, 8
268978, 264343, 476, 4159, 1960, 2234, 380, 2210, 2259, 1514, 1609, 2168, 829, 1122, 8
238084, 209888, 322, 27874, 140, 80, 48, 15, 15, 248, 36, 13, 13, 1136, 8
321946, 284180, 451, 37315, 159, 85, 45, 18, 18, 309, 43, 16, 17, 1203, 8
225127, 198299, 300, 26528, 129, 72, 38, 11, 13, 212, 37, 11, 10, 954, 8
486147, 322370, 264, 163513, 175, 82, 39, 14, 15, 251, 59, 13, 13, 1142, 8
408929, 246628, 328, 161973, 153, 78, 39, 13, 15, 236, 1332, 13, 12, 1061, 8
526999, 356225, 308, 170466, 136, 78, 39, 13, 14, 231, 45, 14, 11, 1069, 8
425341, 284529, 257, 140555, 2477, 2330, 2223, 12, 1848, 2267, 44, 2180, 2195, 882, 8
434711, 247006, 305, 187400, 127, 72, 39, 12, 13, 218, 44, 13, 11, 960, 8
400149, 264242, 315, 135592, 132, 72, 39, 12, 14, 225, 45, 13, 10, 1132, 8
335085, 207961, 324, 126800, 2667, 2244, 1183, 17, 564, 227, 39, 12, 11, 1194, 8
307441, 149463, 290, 157688, 133, 76, 39, 13, 15, 230, 38, 13, 11, 1115, 8
287186, 143957, 249, 142980, 131, 74, 39, 13, 13, 218, 45, 12, 10, 988, 8
436744, 292632, 304, 143808, 183, 104, 39, 20, 13, 216, 41, 12, 11, 1021, 8
268836, 147128, 252, 121456, 119, 68, 38, 11, 13, 205, 43, 11, 10, 892, 8
382364, 244851, 349, 137164, 174, 75, 38, 13, 14, 363, 131, 14, 10, 1018, 8
