Image Size,total time,total time – file IO,File IO Read,File IO write,Host to Device,Horizontal Convolution,Vertical Convolution,Magnitude Kernel,Gradient Kernel,Thrust Sorting,Suppression Kernel,Hysteresis Kernel,Edge Linking Kernel,Device to Host,Block Size
256,321409.868131868,243752.483516484,349.56043956044,77307.8241758242,479.747252747253,368.758241758242,285.296703296703,232.659340659341,249.153846153846,458.967032967033,256.076923076923,275.10989010989,239.186813186813,1066.20879120879,8
256,344716.36,270049.08,351.06,74316.22,377.4,256.84,219.52,193.96,193.24,429.48,202.44,190.86,189.84,1112.38,12
256,390158.42,370123.62,327.06,90371.8,287.8,141.96,92.3,63.52,64.34,315.26,174.38,107.08,100.46,1057.28,16
256,326962.78,241375.44,317.72,85269.62,581.38,353.86,307.96,192.96,384.06,473.44,256.08,198.9,187.36,1045.64,20
256,711156.46,611159.3,345.66,99651.5,738.44,492,460.32,356.78,439.5,638.74,496.54,436.52,411.48,1110.64,24
256,468373.36,372760.58,345.66,95267.12,477.8,407.42,416.04,381.42,377.02,503.34,333.34,318.4,282.62,1103.92,28
256,700415.36,609965.44,351.56,90098.36,556.9,353.14,328.6,195.96,209.14,458.74,295.74,286.74,245.76,1127.86,32
