Image Size,total time,total time – file IO,File IO Read,File IO write,Host to Device,Horizontal Convolution,Vertical Convolution,Magnitude Kernel,Gradient Kernel,Thrust Sorting,Suppression Kernel,Hysteresis Kernel,Edge Linking Kernel,Device to Host,Block Size
512,290714.511111111,285200.311111111,1630.06666666667,3884.13333333333,576.588888888889,380.288888888889,394.211111111111,285.588888888889,320.322222222222,1780.43333333333,264.811111111111,281.177777777778,272.4,4157.78888888889,8
512,305116.08,299976.54,1165.22,3974.32,598.92,537.44,438.78,357.08,316.56,1207.32,329.9,459.22,425.46,4236.7,12
512,437857.2,432595.06,1163.58,4098.56,554.46,367.08,303.14,215.3,215.52,2713.52,272.74,174.6,198.24,4311.98,16
512,270936.56,261501.16,1146.62,8288.78,629.26,397.8,349.08,232.76,230.26,2255.5,296.86,259.36,244.56,4216.78,20
512,562502.58,557192.84,1213.08,4096.66,639.82,638.6,547.38,477.1,419.82,3127.82,319.06,394.18,324.3,4293.98,24
512,522774.3,517464.62,1163.32,4146.36,684.94,580.26,535.12,419.48,414.9,3865.78,390.2,413.52,461.38,4339.56,28
512,401563.4,396367.06,1183.36,4012.98,661.62,603.14,637.12,419.78,471.82,1572.34,315.48,403.86,380.76,4262.66,32
