Image Size,total time,total time – file IO,File IO Read,File IO write,Host to Device,Horizontal Convolution,Vertical Convolution,Magnitude Kernel,Gradient Kernel,Thrust Sorting,Suppression Kernel,Hysteresis Kernel,Edge Linking Kernel,Device to Host,Block Size
256,390158.42,370123.62,327.06,90371.8,287.8,141.96,92.3,63.52,64.34,315.26,174.38,107.08,100.46,1057.28,16
512,437857.2,432595.06,1163.58,4098.56,554.46,367.08,303.14,215.3,215.52,2713.52,272.74,174.6,198.24,4311.98,16
1024,364370.44,345403.84,4350.74,14615.86,1798.18,1045.16,998.2,635.06,657.16,3789.16,968.24,711.02,584.16,14455.72,16
2048,646475.7,580864.08,14942.32,50669.3,4827.22,3105.4,2367.82,993.72,991.14,5383.58,897.02,609.1,355.72,56282.4,16
4096,1093132.47916667,852888.916666667,62541.6875,177701.875,20173.625,10291.7916666667,9417.3125,2861.33333333333,2865.72916666667,14042.0833333333,3605.9375,2147.75,978.770833333333,212419.5625,16
10240,6924741.5,4512479.61538462,373342.923076923,2038918.96153846,119697.653846154,80842.3846153846,55355.0384615385,18553.8076923077,17575.1153846154,59659.4615384615,25365.4615384615,13647.7692307692,6766.11538461539,1452370.76923077,16
