1024, 0.600000, 0.096793, 16 
2048, 0.600000, 0.172221, 16 
4096, 0.600000, 0.741328, 16 
5120, 0.600000, 2.494985, 16 
7680, 0.600000, 3.217219, 16 
10240, 0.600000, 4.721571, 16 
12800, 0.600000, 14.962941, 16 
1024, 0.600000, 0.095836, 16 
2048, 0.600000, 0.322357, 16 
4096, 0.600000, 1.359111, 16 
5120, 0.600000, 1.749650, 16 
7680, 0.600000, 4.513283, 16 
10240, 0.600000, 4.984873, 16 
12800, 0.600000, 6.825397, 16 
1024, 0.600000, 0.059810, 16 
2048, 0.600000, 0.702671, 16 
4096, 0.600000, 2.118757, 16 
5120, 0.600000, 1.485767, 16 
7680, 0.600000, 2.997668, 16 
10240, 0.600000, 8.467753, 16 
12800, 0.600000, 7.976882, 16 
1024, 0.600000, 0.200743, 16 
2048, 0.600000, 0.175155, 16 
4096, 0.600000, 0.676512, 16 
5120, 0.600000, 1.063283, 16 
7680, 0.600000, 2.374518, 16 
10240, 0.600000, 9.441210, 16 
12800, 0.600000, 11.190340, 16 
1024, 0.600000, 0.054347, 16 
2048, 0.600000, 0.182581, 16 
4096, 0.600000, 0.690512, 16 
5120, 0.600000, 4.151678, 16 
7680, 0.600000, 5.137658, 16 
10240, 0.600000, 5.748910, 16 
12800, 0.600000, 14.510986, 16 
1024, 0.600000, 0.088025, 16 
2048, 0.600000, 0.348092, 16 
4096, 0.600000, 0.728424, 16 
5120, 0.600000, 1.111092, 16 
7680, 0.600000, 3.565047, 16 
10240, 0.600000, 4.546809, 16 
12800, 0.600000, 15.534553, 16 
1024, 0.600000, 0.203217, 16 
2048, 0.600000, 0.264682, 16 
4096, 0.600000, 0.723663, 16 
5120, 0.600000, 2.423487, 16 
7680, 0.600000, 3.101903, 16 
10240, 0.600000, 7.253205, 16 
12800, 0.600000, 7.921704, 16 
1024, 0.600000, 0.078231, 16 
2048, 0.600000, 0.802235, 16 
4096, 0.600000, 0.677944, 16 
